시군명,의료기관명,종류,병상수,주소
여수시,의료법인주영의료재단 동인요양병원,요양병원,276,전라남도 여수시 좌수영로 319 (문수동)
여수시,여수시립요양병원,요양병원,132,전라남도 여수시 둔덕5길 29 (둔덕동)
여수시,재단법인여수요양병원,요양병원,81,전라남도 여수시 화양면 장수로 204-32
순천시,의료법인예선의료재단 예선요양병원,요양병원,262,"전라남도 순천시 제일대학길 3-0 (덕월동,예선요양병원)"
순천시,순천정원요양병원,요양병원,140,"전라남도 순천시 중앙초등길 10-0 (풍덕동, 1동 (풍덕동))"
순천시,순천생협요양병원,요양병원,288,전라남도 순천시 봉화로 62 (조곡동)
순천시,의료법인청울의료재단 선암요양병원,요양병원,197,전라남도 순천시 상사면 상사호길 231
순천시,의료법인진촌의료재단 순천만요양병원,요양병원,379,전라남도 순천시 별량면 덕정길 74
순천시,메디팜요양병원,요양병원,341,전라남도 순천시 양율길 306 (인월동)
순천시,의료법인숭덕의료재단 순천효사랑요양병원,요양병원,257,전라남도 순천시 해룡면 여순로 1600
나주시,나주광주요양병원,요양병원,299,"전라남도 나주시 예향로 3782-0 (이창동, (이창동))"
나주시,한마음요양병원,요양병원,194,전라남도 나주시 왕곡면 영산포로 30-13
나주시,의료법인식산의료재단 나사렛요양병원,요양병원,206,전라남도 나주시 남평읍 세남로 1550
나주시,즐거운요양병원,요양병원,282,전라남도 나주시 노안면 노안삼도로 507-14
나주시,노블요양병원,요양병원,297,전라남도 나주시 남평읍 세남로 1566-3
나주시,의료법인세화의료재단 나주효사랑요양병원,요양병원,784,전라남도 나주시 금천면 영산로 5891-9
나주시,나주중앙요양병원,요양병원,199,"전라남도 나주시 영산로 5406 (성북동, (성북동))"
광양시,탑요양병원,요양병원,80,전라남도 광양시 광양읍 대림오성로 63-0
광양시,수요양병원,요양병원,297,전라남도 광양시 광양읍 덕산4길 35-4
광양시,늘편한요양병원,요양병원,177,전라남도 광양시 중마중앙로 134 (중동)
광양시,의료법인백운의료재단 칠성요양병원,요양병원,156,전라남도 광양시 광양읍 남문3길 7
광양시,광양시공립노인전문요양병원,요양병원,174,"전라남도 광양시 진등길 91 (마동, (마동))"
담양군,인애요양병원,요양병원,146,전라남도 담양군 수북면 추성1로 736-0
